Koordinatensystem : Lambert konform konisch
Rechtswert        : 3823500 Meter
Hochwert          : 2818500 Meter
Hoehenlage        : 73 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3823500 2818500  1  6 20  -4.4 1014 115  0.2 7  2.2  81    0    0 266 -275  0
3823500 2818500  1  6 21  -4.3 1015  64  0.1 8  2.2  81    0    0 275 -274  0
3823500 2818500  1  6 22  -3.7 1015  69  0.1 8  2.3  80    0    0 280 -272  0
3823500 2818500  1  6 23  -3.8 1016 118  0.0 8  2.3  80    0    0 280 -271  0
3823500 2818500  1  6 24  -3.6 1016 120  0.0 8  2.3  81    0    0 279 -270  0
3823500 2818500  1  7  1  -3.4 1017  89  0.1 8  2.4  81    0    0 277 -270  0
3823500 2818500  1  7  2  -4.0 1017  45  0.1 8  2.3  82    0    0 275 -270  0
3823500 2818500  1  7  3  -4.0 1018  50  0.1 8  2.3  83    0    0 273 -270  0
3823500 2818500  1  7  4  -4.9 1018  64  0.4 8  2.3  85    0    0 270 -270  0
3823500 2818500  1  7  5  -5.5 1019  66  0.5 6  2.2  86    0    0 258 -270  0
3823500 2818500  1  7  6  -6.4 1019  80  1.1 2  2.1  88    0    0 232 -270  0
3823500 2818500  1  7  7  -7.5 1019  43  0.4 1  2.0  90    0    0 209 -270  0
3823500 2818500  1  7  8  -8.3 1020  67  0.7 2  1.9  92    0    0 206 -270  0
3823500 2818500  1  7  9  -8.9 1021  53  0.7 2  1.8  94    0    0 206 -269  0
3823500 2818500  1  7 10  -8.9 1023  70  1.2 1  1.8  95    9   40 201 -269  0
3823500 2818500  1  7 11  -8.5 1023  74  1.6 1  1.9  95   34   87 198 -272  0
3823500 2818500  1  7 12  -8.0 1024  64  1.4 1  1.9  94   56  117 199 -276  0
3823500 2818500  1  7 13  -7.5 1025  68  1.7 2  1.9  91   71  126 203 -280  0
3823500 2818500  1  7 14  -7.0 1025  66  1.1 3  2.0  90   73  114 211 -283  0
3823500 2818500  1  7 15  -7.2 1025  74  1.2 3  2.0  91   49   85 212 -283  0
3823500 2818500  1  7 16  -7.3 1025 104  0.8 6  2.0  93   16   41 217 -281  0
3823500 2818500  1  7 17  -7.6 1026  77  0.7 5  2.0  96    0    6 218 -278  0
3823500 2818500  1  7 18  -7.8 1026 107  0.5 5  2.0  96    0    0 212 -276  0
3823500 2818500  1  7 19  -7.7 1026 103  0.8 7  2.0  97    0    0 216 -276  0
3823500 2818500  1  7 20  -7.5 1027 124  0.9 7  2.1  98    0    0 220 -276  0
3823500 2818500  1  7 21  -7.6 1027 152  0.4 7  2.1  97    0    0 221 -276  0
3823500 2818500  1  7 22  -7.6 1028 131  0.6 7  2.0  97    0    0 222 -277  0
3823500 2818500  1  7 23  -8.0 1027 156  0.5 7  2.0  95    0    0 223 -277  0
3823500 2818500  1  7 24  -8.4 1027 167  0.7 4  1.9  97    0    0 214 -278  0
3823500 2818500  1  8  1  -8.2 1027 157  1.2 3  1.9  97    0    0 203 -278  0
3823500 2818500  1  8  2  -7.5 1027 169  1.4 5  2.0  94    0    0 207 -278  0
3823500 2818500  1  8  3  -6.8 1026 167  1.4 8  2.0  93    0    0 227 -280  0
3823500 2818500  1  8  4  -5.9 1026 175  1.3 8  2.2  93    0    0 242 -282  0
3823500 2818500  1  8  5  -5.9 1026 183  0.9 7  2.2  93    0    0 241 -284  0
3823500 2818500  1  8  6  -5.3 1025 177  1.8 8  2.3  93    0    0 245 -285  0
3823500 2818500  1  8  7  -5.4 1025 182  1.8 6  2.3  93    0    0 244 -285  0
3823500 2818500  1  8  8  -5.1 1024 185  1.9 7  2.3  93    0    0 242 -285  0
3823500 2818500  1  8  9  -4.2 1024 187  2.0 7  2.4  90    0    0 249 -285  0
3823500 2818500  1  8 10  -4.3 1023 183  2.7 6  2.4  88    2   34 246 -285  0
3823500 2818500  1  8 11  -3.4 1024 185  2.7 6  2.4  86   34   85 244 -287  0
3823500 2818500  1  8 12  -2.6 1023 191  3.3 6  2.5  82   34  112 246 -291  0
3823500 2818500  1  8 13  -1.8 1023 188  3.0 6  2.5  79   15  113 249 -296  0
3823500 2818500  1  8 14  -1.2 1021 191  3.7 8  2.6  77    0   50 261 -300  0
3823500 2818500  1  8 15  -1.0 1020 198  3.7 8  2.7  77    0   34 272 -301  0
3823500 2818500  1  8 16  -0.9 1018 196  4.0 7  2.7  78    0   13 270 -302  0
3823500 2818500  1  8 17  -1.1 1018 192  3.8 7  2.9  83    0    2 270 -303  0
3823500 2818500  1  8 18  -1.1 1017 196  3.3 7  3.1  90    0    0 275 -304  0
3823500 2818500  1  8 19  -0.9 1016 208  4.1 8  3.2  93    0    0 282 -305  0
3823500 2818500  1  8 20  -0.7 1016 213  3.0 8  3.4  95    0    0 288 -306  0
3823500 2818500  1  8 21   0.1 1015 214  2.9 8  3.5  95    0    0 292 -308  0
3823500 2818500  1  8 22   0.2 1015 216  2.8 8  3.6  93    0    0 297 -309  0
3823500 2818500  1  8 23   0.4 1015 221  1.7 8  3.6  94    0    0 299 -311  0
3823500 2818500  1  8 24   0.4 1015 229  3.0 7  3.6  94    0    0 298 -312  0
3823500 2818500  1  9  1   0.5 1015 245  3.0 5  3.6  93    0    0 290 -313  0
3823500 2818500  1  9  2   0.5 1014 243  1.8 7  3.7  93    0    0 289 -313  0
3823500 2818500  1  9  3   0.7 1014 256  1.3 6  3.7  95    0    0 292 -313  0
3823500 2818500  1  9  4   0.8 1015 275  1.2 7  3.8  96    0    0 293 -313  0
3823500 2818500  1  9  5   0.8 1015 260  1.3 6  3.9  97    0    0 292 -314  0
3823500 2818500  1  9  6   1.1 1015 239  1.1 8  4.0  98    0    0 297 -315  0
3823500 2818500  1  9  7   1.4 1014 253  1.4 5  4.0  98    0    0 293 -315  0
