stunde_des_jahres,waermeverlust_kw
1280,48.507999999999996
1281,46.89999999999999
1282,43.684
1283,41.53999999999999
1284,41.004
1285,38.592
1286,37.788
1287,38.056
1288,36.44799999999999
1289,39.12799999999999
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,58.15599999999999
1303,60.03199999999999
1304,61.907999999999994
1305,60.03199999999999
1306,57.083999999999996
1307,55.47599999999999
1308,52.79599999999999
1309,49.848
1310,47.70399999999999
1311,46.89999999999999
1312,45.559999999999995
1313,45.559999999999995
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,52.25999999999999
1327,52.79599999999999
1328,53.599999999999994
1329,52.528
1330,49.848
1331,46.096
1332,44.22
1333,44.22
1334,42.343999999999994
1335,40.736
1336,43.416
1337,43.416
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,47.70399999999999
1351,48.239999999999995
1352,47.971999999999994
1353,47.168
1354,46.096
1355,44.75599999999999
1356,43.147999999999996
1357,42.07599999999999
1358,38.056
1359,38.592
1360,39.663999999999994
1361,41.53999999999999
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,53.867999999999995
1375,54.135999999999996
1376,54.403999999999996
1377,51.455999999999996
1378,47.168
1379,43.416
1380,40.199999999999996
1381,37.788
1382,37.788
1383,37.519999999999996
1384,36.17999999999999
1385,36.44799999999999
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,46.89999999999999
1399,49.848
1400,49.58
1401,45.559999999999995
1402,41.272
1403,36.983999999999995
1404,33.232
1405,33.5
1406,32.696
1407,32.696
