stunde_des_jahres,ventilatorleistung_kw
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,3.6363636363636362
1423,3.6363636363636362
1424,3.6363636363636362
1425,3.6363636363636362
1426,3.6363636363636362
1427,3.6363636363636362
1428,3.6363636363636362
1429,3.6363636363636362
1430,3.6363636363636362
1431,3.6363636363636362
1432,3.6363636363636362
1433,3.6363636363636362
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,3.6363636363636362
1447,3.6363636363636362
1448,3.6363636363636362
1449,3.6363636363636362
1450,3.6363636363636362
1451,3.6363636363636362
1452,3.6363636363636362
1453,3.6363636363636362
1454,3.6363636363636362
1455,3.6363636363636362
1456,3.6363636363636362
1457,3.6363636363636362
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,3.6363636363636362
1471,3.6363636363636362
1472,3.6363636363636362
1473,3.6363636363636362
1474,3.6363636363636362
1475,3.6363636363636362
1476,3.6363636363636362
1477,3.6363636363636362
1478,3.6363636363636362
1479,3.6363636363636362
1480,3.6363636363636362
1481,3.6363636363636362
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,3.6363636363636362
1495,3.6363636363636362
1496,3.6363636363636362
1497,3.6363636363636362
1498,3.6363636363636362
1499,3.6363636363636362
1500,3.6363636363636362
1501,3.6363636363636362
1502,3.6363636363636362
1503,3.6363636363636362
1504,3.6363636363636362
1505,3.6363636363636362
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,3.6363636363636362
1519,3.6363636363636362
1520,3.6363636363636362
1521,3.6363636363636362
1522,3.6363636363636362
1523,3.6363636363636362
1524,3.6363636363636362
1525,3.6363636363636362
1526,3.6363636363636362
1527,3.6363636363636362
1528,3.6363636363636362
1529,3.6363636363636362
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,3.6363636363636362
1543,3.6363636363636362
1544,3.6363636363636362
1545,3.6363636363636362
1546,3.6363636363636362
1547,3.6363636363636362
1548,3.6363636363636362
1549,3.6363636363636362
1550,3.6363636363636362
1551,3.6363636363636362
1552,3.6363636363636362
1553,3.6363636363636362
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,3.6363636363636362
1567,3.6363636363636362
