stunde_des_jahres,t
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,13.801999999999998
1111,13.466999999999999
1112,13.064999999999998
1113,12.796999999999997
1114,12.394999999999998
1115,12.059999999999997
1116,11.992999999999997
1117,11.724999999999998
1118,11.523999999999997
1119,11.456999999999999
1120,11.322999999999997
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,12.394999999999998
1135,12.260999999999997
1136,12.528999999999998
1137,12.528999999999998
1138,12.260999999999997
1139,12.059999999999997
1140,11.791999999999998
1141,11.255999999999998
1142,10.786999999999999
1143,10.652999999999999
1144,10.585999999999999
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,11.724999999999998
1159,11.724999999999998
1160,11.791999999999998
1161,11.925999999999998
1162,11.054999999999998
1163,10.251
1164,9.447
1165,8.709999999999999
1166,8.709999999999999
1167,8.776999999999997
1168,8.441999999999998
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,13.801999999999998
1183,14.002999999999997
1184,13.935999999999996
1185,13.734999999999998
1186,13.466999999999999
1187,13.198999999999996
1188,12.729999999999999
1189,12.729999999999999
1190,12.595999999999998
1191,12.059999999999997
1192,12.260999999999997
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,11.456999999999999
1207,11.791999999999998
1208,11.925999999999998
1209,11.456999999999999
1210,10.987999999999996
1211,10.451999999999998
1212,10.116999999999997
1213,9.714999999999998
1214,9.581
1215,9.447
1216,9.379999999999999
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,13.533999999999997
1279,14.002999999999997
1280,14.136999999999999
1281,13.734999999999998
1282,12.930999999999997
1283,12.394999999999998
1284,12.260999999999997
1285,11.657999999999998
1286,11.456999999999999
1287,11.523999999999997
1288,11.121999999999998
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,16.548999999999996
1303,17.017999999999997
1304,17.487
1305,17.017999999999997
1306,16.281
1307,15.878999999999998
1308,15.208999999999996
1309,14.471999999999998
1310,13.935999999999996
1311,13.734999999999998
1312,13.399999999999997
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,15.074999999999996
1327,15.208999999999996
1328,15.409999999999998
1329,15.141999999999998
1330,14.471999999999998
1331,13.533999999999997
1332,13.064999999999998
1333,13.064999999999998
1334,12.595999999999998
1335,12.193999999999997
1336,12.863999999999997
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,13.935999999999996
1351,14.069999999999997
1352,14.002999999999997
1353,13.801999999999998
1354,13.533999999999997
1355,13.198999999999996
1356,12.796999999999997
1357,12.528999999999998
1358,11.523999999999997
1359,11.657999999999998
1360,11.925999999999998
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,15.476999999999997
1375,15.543999999999995
1376,15.610999999999997
1377,14.873999999999997
1378,13.801999999999998
1379,12.863999999999997
1380,12.059999999999997
1381,11.456999999999999
1382,11.456999999999999
1383,11.389999999999999
1384,11.054999999999998
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
